--  Dhondt electoral data for UK.

650

Conservatives 13941200
Labour 10292054
LibDem 3675342
SNP 1242372
Green 864743
Brexit 642303
DUP 244128
SinnFéin 181853
Plaid 153265
UKIP 22817
